ent,mun,loc,upm,est_nal,est_est,t_loc,con,vivienda,hab
31,1,1,1,12,873,4,6025,194,3
21,1,1,1,10,636,2,5013,195,1
7,19,1,1,10,397,2,5069,196,6
24,20,1,1,20,689,2,5010,197,5
23,4,1,1,31,665,1,5035,198,4
16,53,1,1,21,126,1,270,199,4
3,2,15,1,30,332,4,6025,200,6
10,23,1,1,20,445,2,5001,201,7
28,21,1,1,10,791,2,5001,202,2
28,21,1,1,10,791,2,5001,203,4
8,2,1,1,20,424,2,5003,204,3
8,2,1,1,20,424,2,5003,205,4
24,20,1,1,20,689,2,5010,206,3
32,5,1,1,30,879,2,5023,207,6
22,1,1,1,20,653,3,5026,208,1
28,21,1,1,10,791,2,5001,209,1
21,1,1,1,10,636,2,5013,210,7
12,4,1,1,14,503,4,6040,211,4
22,1,1,1,20,653,3,5026,212,4
1,1,139,1,22,296,4,6032,213,7
31,1,1,1,12,873,4,6025,214,1
3,2,15,1,30,332,4,6025,215,7
4,4,91,1,13,349,4,6025,216,4
4,2,77,1,20,346,3,5003,217,5
4,2,77,1,20,346,3,5003,218,7
5,1,1,1,20,375,4,6025,219,2
23,1,1,1,30,669,2,5083,220,2
12,35,1,1,10,487,1,5014,221,4
11,15,1,1,30,466,2,5035,222,6
31,1,1,1,12,873,4,6025,223,7
4,4,91,1,13,349,4,6025,224,5
22,1,1,1,20,653,3,5026,225,1
27,1,1,1,20,763,3,5032,226,1
28,21,1,1,10,791,2,5001,227,4
7,19,1,1,10,397,2,5069,228,1
1,1,139,1,22,296,4,6032,229,1
27,1,1,1,20,763,3,5032,230,7
23,4,1,1,31,665,1,5035,231,2
10,7,1,1,22,439,1,5222,232,5
30,108,62,1,20,838,3,5323,233,7
18,17,1,1,22,204,1,381,234,2
28,21,1,1,10,791,2,5001,235,6
4,2,77,1,20,346,3,5003,236,3
32,5,1,1,30,879,2,5023,237,3
12,4,1,1,14,503,4,6040,238,3
10,7,1,1,22,439,1,5222,239,1
10,23,1,1,20,445,2,5001,240,7
7,19,1,1,10,397,2,5069,241,4
1,1,139,1,22,296,4,6032,242,3
27,1,1,1,20,763,3,5032,243,6
31,1,1,1,12,873,4,6025,244,3
22,1,1,1,20,653,3,5026,245,4
5,1,1,1,20,375,4,6025,246,1
27,1,1,1,20,763,3,5032,247,1
22,5,2,1,20,657,3,5010,248,4
28,3,122,1,42,92,1,603,249,1
24,20,1,1,20,689,2,5010,250,2
28,3,122,1,42,92,1,603,251,6
30,108,62,1,20,838,3,5323,252,1
2,4,1,1,43,178,1,410,253,4
3,2,15,1,30,332,4,6025,254,6
28,21,1,1,10,791,2,5001,255,3
4,4,91,1,13,349,4,6025,256,3
22,5,2,1,20,657,3,5010,257,5
15,67,50,1,10,133,3,394,258,4
27,1,1,1,20,763,3,5032,259,6
31,1,1,1,12,873,4,6025,260,1
18,3,1,1,20,596,3,5031,261,3
19,9,1,1,30,601,2,5001,262,5
22,1,1,1,20,653,3,5026,263,2
3,2,15,1,30,332,4,6025,264,5
21,1,1,1,10,636,2,5013,265,2
31,1,1,1,12,873,4,6025,266,3
31,1,1,1,12,873,4,6025,267,1
10,23,1,1,20,445,2,5001,268,4
27,1,1,1,20,763,3,5032,269,2
22,1,1,1,20,653,3,5026,270,3
7,19,1,1,10,397,2,5069,271,4
11,15,1,1,30,466,2,5035,272,5
22,1,1,1,20,653,3,5026,273,5
4,2,77,1,20,346,3,5003,274,3
7,19,1,1,10,397,2,5069,275,5
24,20,1,1,20,689,2,5010,276,5
4,2,77,1,20,346,3,5003,277,1
1,1,139,1,22,296,4,6032,278,1
19,9,1,1,30,601,2,5001,279,5
18,3,1,1,20,596,3,5031,280,1
21,1,1,1,10,636,2,5013,281,5
4,4,91,1,13,349,4,6025,282,4
1,1,139,1,22,296,4,6032,283,7
32,5,1,1,30,879,2,5023,284,2
3,3,1,1,33,272,1,165,285,3
19,9,1,1,30,601,2,5001,286,1
22,5,2,1,20,657,3,5010,287,2
31,1,1,1,12,873,4,6025,288,5
18,3,1,1,20,596,3,5031,289,6
18,3,1,1,20,596,3,5031,290,7
21,1,1,1,10,636,2,5013,291,1
32,5,1,1,30,879,2,5023,292,3
3,3,1,1,33,272,1,165,293,4
3,2,15,1,30,332,4,6025,294,6
21,1,1,1,10,636,2,5013,295,6
3,2,15,1,30,332,4,6025,296,5
30,108,62,1,20,838,3,5323,297,1
19,9,1,1,30,601,2,5001,298,5
15,67,50,1,10,133,3,394,299,3
3,3,1,1,33,272,1,165,300,7
22,5,2,1,20,657,3,5010,301,5
7,19,1,1,10,397,2,5069,302,6
23,4,1,1,31,665,1,5035,303,6
32,5,1,1,30,879,2,5023,304,7
23,1,1,1,30,669,2,5083,305,6
32,5,1,1,30,879,2,5023,306,4
28,21,1,1,10,791,2,5001,307,4
32,5,1,1,30,879,2,5023,308,2
16,53,1,1,21,126,1,270,309,4
27,1,1,1,20,763,3,5032,310,5
32,5,1,1,30,879,2,5023,311,7
11,15,1,1,30,466,2,5035,312,3
32,5,1,1,30,879,2,5023,313,6
22,5,2,1,20,657,3,5010,314,1
19,45,405,1,21,33,3,582,315,5
16,53,1,1,21,126,1,270,316,6
10,23,1,1,20,445,2,5001,317,4
19,45,405,1,21,33,3,582,318,3
12,4,1,1,14,503,4,6040,319,1
12,4,1,1,14,503,4,6040,320,1
19,9,1,1,30,601,2,5001,321,5
10,23,1,1,20,445,2,5001,322,1
31,1,1,1,12,873,4,6025,323,4
8,2,1,1,20,424,2,5003,324,7
10,23,1,1,20,445,2,5001,325,7
19,9,1,1,30,601,2,5001,326,4
22,5,2,1,20,657,3,5010,327,4
18,3,1,1,20,596,3,5031,328,2
27,1,1,1,20,763,3,5032,329,7
24,20,1,1,20,689,2,5010,330,4
23,1,1,1,30,669,2,5083,331,1
12,4,1,1,14,503,4,6040,332,3
12,4,1,1,14,503,4,6040,333,5
32,5,1,1,30,879,2,5023,334,6
32,5,1,1,30,879,2,5023,335,5
31,1,1,1,12,873,4,6025,336,4
28,3,122,1,42,92,1,603,337,2
5,1,1,1,20,375,4,6025,338,7
7,19,1,1,10,397,2,5069,339,2
4,2,1,1,33,216,1,65,340,1
19,9,1,1,30,601,2,5001,341,1
18,17,1,1,22,204,1,381,342,4
3,2,15,1,30,332,4,6025,343,1
22,1,1,1,20,653,3,5026,344,2
22,1,1,1,20,653,3,5026,345,5
18,3,1,1,20,596,3,5031,346,1
31,1,1,1,12,873,4,6025,347,3
5,1,1,1,20,375,4,6025,348,6
23,1,1,1,30,669,2,5083,349,2
18,3,1,1,20,596,3,5031,350,7
19,9,1,1,30,601,2,5001,351,1
4,2,77,1,20,346,3,5003,352,7
23,1,1,1,30,669,2,5083,353,6
18,3,1,1,20,596,3,5031,354,2
28,3,122,1,42,92,1,603,355,2
23,1,1,1,30,669,2,5083,356,6
31,1,1,1,12,873,4,6025,357,5
2,4,1,1,43,178,1,410,358,4
23,1,1,1,30,669,2,5083,359,2
11,15,1,1,30,466,2,5035,360,5
31,1,1,1,12,873,4,6025,361,4
23,1,1,1,30,669,2,5083,362,5
1,1,139,1,22,296,4,6032,363,6
28,21,1,1,10,791,2,5001,364,6
10,7,1,1,22,439,1,5222,365,3
18,3,1,1,20,596,3,5031,366,6
19,9,1,1,30,601,2,5001,367,7
24,20,1,1,20,689,2,5010,368,6
22,5,2,1,20,657,3,5010,369,7
21,1,1,1,10,636,2,5013,370,4
21,1,1,1,10,636,2,5013,371,6
21,1,1,1,10,636,2,5013,372,4
19,45,405,1,21,33,3,582,373,7
10,23,1,1,20,445,2,5001,374,7
15,67,50,1,10,133,3,394,375,6
15,67,50,1,10,133,3,394,376,7
3,2,15,1,30,332,4,6025,377,5
22,5,2,1,20,657,3,5010,378,1
24,20,1,1,20,689,2,5010,379,2
8,2,1,1,20,424,2,5003,380,4
19,9,1,1,30,601,2,5001,381,5
23,1,1,1,30,669,2,5083,382,2
19,45,405,1,21,33,3,582,383,2
32,5,1,1,30,879,2,5023,384,5
3,2,15,1,30,332,4,6025,385,4
19,45,405,1,21,33,3,582,386,3
18,3,1,1,20,596,3,5031,387,6
18,3,1,1,20,596,3,5031,388,2
21,1,1,1,10,636,2,5013,389,4
31,1,1,1,12,873,4,6025,390,2
10,7,1,1,22,439,1,5222,391,3
18,3,1,1,20,596,3,5031,392,3
28,21,1,1,10,791,2,5001,393,1
8,2,1,1,20,424,2,5003,394,5
3,2,15,1,30,332,4,6025,395,1
23,1,1,1,30,669,2,5083,396,3
22,1,1,1,20,653,3,5026,397,1
7,19,1,1,10,397,2,5069,398,6
12,4,1,1,14,503,4,6040,399,4
10,23,1,1,20,445,2,5001,400,3
12,4,1,1,14,503,4,6040,401,4
10,23,1,1,20,445,2,5001,402,5
21,1,1,1,10,636,2,5013,403,6
21,1,1,1,10,636,2,5013,404,2
12,4,1,1,14,503,4,6040,405,4
4,2,77,1,20,346,3,5003,406,5
19,9,1,1,30,601,2,5001,407,2
23,1,1,1,30,669,2,5083,408,2
24,20,1,1,20,689,2,5010,409,4
23,1,1,1,30,669,2,5083,410,5
24,20,1,1,20,689,2,5010,411,4
30,108,62,1,20,838,3,5323,412,3
12,4,1,1,14,503,4,6040,413,5
22,1,1,1,20,653,3,5026,414,3
21,1,1,1,10,636,2,5013,415,1
24,20,1,1,20,689,2,5010,416,2
19,9,1,1,30,601,2,5001,417,3
28,21,1,1,10,791,2,5001,418,7
7,19,1,1,10,397,2,5069,419,7
23,1,1,1,30,669,2,5083,420,7
5,1,1,1,20,375,4,6025,421,3
7,19,1,1,10,397,2,5069,422,4
8,2,1,1,20,424,2,5003,423,1
27,1,1,1,20,763,3,5032,424,5
4,4,91,1,13,349,4,6025,425,5
27,1,1,1,20,763,3,5032,426,7
3,2,15,1,30,332,4,6025,427,1
12,4,1,1,14,503,4,6040,428,4
4,4,91,1,13,349,4,6025,429,3
12,4,1,1,14,503,4,6040,430,4
18,17,1,1,22,204,1,381,431,2
28,21,1,1,10,791,2,5001,432,3
22,5,2,1,20,657,3,5010,433,1
22,5,2,1,20,657,3,5010,434,4
4,4,91,1,13,349,4,6025,435,4
1,1,139,1,22,296,4,6032,436,6
4,2,77,1,20,346,3,5003,437,7
19,9,1,1,30,601,2,5001,438,4
22,1,1,1,20,653,3,5026,439,7
4,4,91,1,13,349,4,6025,440,5
19,9,1,1,30,601,2,5001,441,2
4,4,91,1,13,349,4,6025,442,4
5,1,1,1,20,375,4,6025,443,4
1,1,139,1,22,296,4,6032,444,6
22,5,2,1,20,657,3,5010,445,5
1,1,139,1,22,296,4,6032,446,5
22,1,1,1,20,653,3,5026,447,5
28,21,1,1,10,791,2,5001,448,3
1,1,139,1,22,296,4,6032,449,5
8,2,1,1,20,424,2,5003,450,7
21,1,1,1,10,636,2,5013,451,7
21,1,1,1,10,636,2,5013,452,2
32,5,1,1,30,879,2,5023,453,6
22,5,2,1,20,657,3,5010,454,1
27,1,1,1,20,763,3,5032,455,1
3,2,15,1,30,332,4,6025,456,3
19,9,1,1,30,601,2,5001,457,3
23,1,1,1,30,669,2,5083,458,2
21,1,1,1,10,636,2,5013,459,3
5,1,1,1,20,375,4,6025,460,6
3,2,15,1,30,332,4,6025,461,5
23,4,201,2,20,681,4,6025,1,6
32,10,1,2,20,876,1,5037,2,4
8,4,1,2,22,434,4,6029,3,5
4,1,1,2,20,343,3,5008,4,2
1,5,1,2,22,119,2,103,5,5
4,1,1,2,20,343,3,5008,6,2
4,1,1,2,20,343,3,5008,7,5
1,1,479,2,20,293,3,5002,8,1
6,6,1,2,20,387,4,6025,9,1
1,1,479,2,20,293,3,5002,10,7
15,3,1,2,30,551,4,6030,11,6
9,4,54,2,20,436,4,6001,12,2
22,14,1,2,22,254,1,146,13,3
4,1,1,2,20,343,3,5008,14,5
23,4,201,2,20,681,4,6025,15,5
4,1,1,2,20,343,3,5008,16,7
32,10,1,2,20,876,1,5037,17,6
9,4,54,2,20,436,4,6001,18,7
23,5,1,2,21,275,1,404,19,3
1,1,479,2,20,293,3,5002,20,1
14,120,142,2,21,24,2,435,21,7
23,2,1,2,10,670,2,5026,22,4
9,4,54,2,20,436,4,6001,23,6
15,3,1,2,30,551,4,6030,24,6
4,1,1,2,20,343,3,5008,25,4
27,4,1,2,42,157,1,391,26,5
15,3,1,2,30,551,4,6030,27,1
8,17,1,2,30,422,2,5013,28,7
22,14,1,2,22,254,1,146,29,2
15,3,1,2,30,551,4,6030,30,4
32,10,1,2,20,876,1,5037,31,2
8,17,1,2,30,422,2,5013,32,1
8,17,1,2,30,422,2,5013,33,2
6,6,1,2,20,387,4,6025,34,6
1,3,1,2,20,290,2,5030,35,5
4,1,1,2,20,343,3,5008,36,2
26,2,1,2,30,743,2,5037,37,3
6,10,1,2,22,246,1,55,38,6
1,3,1,2,20,290,2,5030,39,7
26,2,1,2,30,743,2,5037,40,7
1,3,1,2,20,290,2,5030,41,1
6,7,1,2,21,376,1,5209,42,3
8,17,1,2,30,422,2,5013,43,2
23,2,1,2,10,670,2,5026,44,3
8,17,1,2,30,422,2,5013,45,3
9,4,54,2,20,436,4,6001,46,1
15,3,1,2,30,551,4,6030,47,2
8,4,1,2,22,434,4,6029,48,5
23,4,201,2,20,681,4,6025,49,6
23,2,1,2,10,670,2,5026,50,4
32,10,1,2,20,876,1,5037,51,6
32,10,1,2,20,876,1,5037,52,6
8,4,1,2,22,434,4,6029,53,1
1,3,1,2,20,290,2,5030,54,5
8,17,1,2,30,422,2,5013,55,3
6,6,1,2,20,387,4,6025,56,2
4,2,1,2,33,216,1,225,57,1
28,22,1,2,21,779,1,5304,58,3
26,2,1,2,30,743,2,5037,59,3
29,31,11,2,21,261,3,102,60,2
15,3,1,2,30,551,4,6030,61,1
27,4,1,2,42,157,1,391,62,4
23,2,1,2,10,670,2,5026,63,2
6,6,1,2,20,387,4,6025,64,1
6,6,1,2,20,387,4,6025,65,7
26,2,1,2,30,743,2,5037,66,1
6,6,1,2,20,387,4,6025,67,5
32,10,1,2,20,876,1,5037,68,5
32,10,1,2,20,876,1,5037,69,7
1,3,1,2,20,290,2,5030,70,4
3,3,1,2,33,272,1,103,71,5
15,3,1,2,30,551,4,6030,72,1
26,2,1,2,30,743,2,5037,73,6
15,3,1,2,30,551,4,6030,74,2
9,4,54,2,20,436,4,6001,75,3
9,4,54,2,20,436,4,6001,76,6
9,4,54,2,20,436,4,6001,77,4
23,4,201,2,20,681,4,6025,78,4
6,10,1,2,22,246,1,55,79,4
6,6,1,2,20,387,4,6025,80,1
1,3,1,2,20,290,2,5030,81,3
8,17,1,2,30,422,2,5013,82,3
23,2,1,2,10,670,2,5026,83,4
29,31,11,2,21,261,3,102,84,7
14,120,142,2,21,24,2,435,85,5
23,5,1,2,21,275,1,404,86,3
4,1,1,2,20,343,3,5008,87,5
9,4,54,2,20,436,4,6001,88,5
3,3,1,2,33,272,1,103,89,5
18,17,1,2,22,204,1,209,90,2
8,17,1,2,30,422,2,5013,91,1
4,1,1,2,20,343,3,5008,92,6
9,4,54,2,20,436,4,6001,93,1
6,6,1,2,20,387,4,6025,94,1
4,1,1,2,20,343,3,5008,95,4
15,3,1,2,30,551,4,6030,96,4
29,31,11,2,21,261,3,102,97,3
8,17,1,2,30,422,2,5013,98,3
32,10,1,2,20,876,1,5037,99,4
8,17,1,2,30,422,2,5013,100,3
1,5,1,2,22,119,2,103,101,5
4,1,1,2,20,343,3,5008,102,3
1,1,479,2,20,293,3,5002,103,7
1,1,479,2,20,293,3,5002,104,5
4,2,1,2,33,216,1,225,105,3
3,3,1,2,33,272,1,103,106,6
8,4,1,2,22,434,4,6029,107,6
22,14,1,2,22,254,1,146,108,6
1,5,1,2,22,119,2,103,109,7
1,3,1,2,20,290,2,5030,110,7
8,4,1,2,22,434,4,6029,111,7
8,4,1,2,22,434,4,6029,112,4
23,2,1,2,10,670,2,5026,113,6
1,3,1,2,20,290,2,5030,114,2
14,120,142,2,21,24,2,435,115,4
1,1,479,2,20,293,3,5002,116,3
1,1,479,2,20,293,3,5002,117,2
29,31,11,2,21,261,3,102,118,7
1,1,479,2,20,293,3,5002,119,7
8,4,1,2,22,434,4,6029,120,7
4,1,1,2,20,343,3,5008,121,1
6,7,1,2,21,376,1,5209,122,5
32,10,1,2,20,876,1,5037,123,7
1,1,479,2,20,293,3,5002,124,4
1,3,1,2,20,290,2,5030,125,3
8,4,1,2,22,434,4,6029,126,7
1,1,479,2,20,293,3,5002,127,6
4,1,1,2,20,343,3,5008,128,2
23,4,201,2,20,681,4,6025,129,7
8,4,1,2,22,434,4,6029,130,2
26,2,1,2,30,743,2,5037,131,6
6,6,1,2,20,387,4,6025,132,1
1,5,1,2,22,119,2,103,133,1
15,3,1,2,30,551,4,6030,134,6
6,6,1,2,20,387,4,6025,135,2
1,3,1,2,20,290,2,5030,136,2
23,4,201,2,20,681,4,6025,137,5
6,6,1,2,20,387,4,6025,138,2
13,48,1,2,23,285,1,1050,139,5
23,2,1,2,10,670,2,5026,140,5
4,1,1,2,20,343,3,5008,141,7
23,4,201,2,20,681,4,6025,142,5
9,4,54,2,20,436,4,6001,143,1
9,4,54,2,20,436,4,6001,144,7
1,3,1,2,20,290,2,5030,145,3
26,2,1,2,30,743,2,5037,146,7
22,14,1,2,22,254,1,146,147,5
23,2,1,2,10,670,2,5026,148,3
32,10,1,2,20,876,1,5037,149,7
4,1,1,2,20,343,3,5008,150,5
8,4,1,2,22,434,4,6029,151,1
1,3,1,2,20,290,2,5030,152,7
1,3,1,2,20,290,2,5030,153,3
15,3,1,2,30,551,4,6030,154,3
6,6,1,2,20,387,4,6025,155,6
8,17,1,2,30,422,2,5013,156,7
4,2,1,2,33,216,1,225,157,5
6,6,1,2,20,387,4,6025,158,6
23,5,1,2,21,275,1,404,159,5
28,3,122,2,21,87,1,507,160,1
26,2,1,2,30,743,2,5037,161,4
8,17,1,2,30,422,2,5013,162,2
3,3,1,2,33,272,1,103,163,4
23,2,1,2,10,670,2,5026,164,7
23,2,1,2,10,670,2,5026,165,5
28,3,122,2,21,87,1,507,166,4
28,3,122,2,21,87,1,507,167,5
8,4,1,2,22,434,4,6029,168,6
6,6,1,2,20,387,4,6025,169,5
32,10,1,2,20,876,1,5037,170,6
8,17,1,2,30,422,2,5013,171,2
1,1,479,2,20,293,3,5002,172,4
9,4,54,2,20,436,4,6001,173,1
23,4,201,2,20,681,4,6025,174,1
32,56,1,2,23,240,1,331,175,3
6,7,1,2,21,376,1,5209,176,2
4,1,1,2,20,343,3,5008,177,4
23,4,201,2,20,681,4,6025,178,2
26,2,1,2,30,743,2,5037,179,2
3,3,1,2,33,272,1,103,180,6
8,17,1,2,30,422,2,5013,181,6
18,17,1,2,22,204,1,209,182,1
13,48,1,2,23,285,1,1050,183,3
14,120,142,2,21,24,2,435,184,1
6,6,1,2,20,387,4,6025,185,7
6,10,1,2,22,246,1,55,186,4
9,4,54,2,20,436,4,6001,187,6
32,10,1,2,20,876,1,5037,188,2
4,1,1,2,20,343,3,5008,189,6
8,17,1,2,30,422,2,5013,190,6
8,4,1,2,22,434,4,6029,191,1
32,56,1,2,23,240,1,331,192,3
23,2,1,2,10,670,2,5026,193,5
8,17,1,2,30,422,2,5013,194,7
23,4,201,2,20,681,4,6025,195,6
6,6,1,2,20,387,4,6025,196,7
28,22,1,2,21,779,1,5304,197,4
26,2,1,2,30,743,2,5037,198,7
28,22,1,2,21,779,1,5304,199,6
4,1,1,2,20,343,3,5008,200,6
9,4,54,2,20,436,4,6001,201,2
23,2,1,2,10,670,2,5026,202,6
14,120,142,2,21,24,2,435,203,7
23,2,1,2,10,670,2,5026,204,7
23,2,1,2,10,670,2,5026,205,1
1,1,479,2,20,293,3,5002,206,6
